Block,Accumulated Time,Individual Block Time,Average
1,487.788809,487.788809,0.0009755776
2,993.310457,505.521647,0.001011043
3,1500.68541,507.374954,0.00101475
4,2014.218126,513.532715,0.001027065
5,2509.69787,495.479745,0.0009909595
6,3028.616355,518.918485,0.001037837
7,3532.500676,503.884321,0.001007769
8,4045.539426,513.03875,0.001026077
9,4591.656219,546.116792,0.001092234
10,5109.905906,518.249688,0.001036499
11,5621.899063,511.993156,0.001023986
12,6130.311665,508.412602,0.001016825
13,6626.503303,496.191638,0.0009923833
14,7122.68969,496.186387,0.0009923728
15,7632.320151,509.630461,0.001019261
16,8126.928869,494.608719,0.0009892174
17,8641.608852,514.679983,0.00102936
18,9141.915747,500.306895,0.001000614
19,9652.622823,510.707076,0.001021414
20,10149.631239,497.008416,0.0009940168
21,10676.456578,526.825339,0.001053651
22,11174.217053,497.760476,0.000995521
23,11677.188391,502.971338,0.001005943
24,12183.488584,506.300194,0.0010126
25,12698.216274,514.72769,0.001029455
26,13217.040695,518.824421,0.001037649
27,13721.467723,504.427027,0.001008854
28,14233.477652,512.009929,0.00102402
29,14724.476919,490.999267,0.0009819985
30,15238.770056,514.293137,0.001028586
31,15739.4774866011,500.7074306011,0.0010014149
32,16256.716841,517.239355,0.001034479
33,16756.233533,499.516692,0.0009990334
34,17256.197928,499.964395,0.0009999288
35,17764.626202,508.428274,0.001016857
36,18278.806669,514.180467,0.001028361
37,18774.585386,495.778717,0.0009915574
38,19272.776681,498.191295,0.0009963826
39,19784.041505,511.264824,0.00102253
40,20293.506872,509.465367,0.001018931
41,20814.062033,520.555161,0.00104111
42,21314.070555,500.008523,0.001000017
43,21824.379971,510.309416,0.001020619
44,22321.807987,497.428016,0.000994856
45,22839.232771,517.424784,0.00103485
46,23355.131086,515.898315,0.001031797
47,23863.140665,508.009578,0.001016019
48,24374.597193,511.456529,0.001022913
49,24867.787533,493.19034,0.0009863807
50,25381.478073,513.69054,0.001027381
51,25876.100471,494.622398,0.0009892448
52,26395.124545,519.024074,0.001038048
53,26894.752592,499.628047,0.0009992561
54,27397.688453,502.935861,0.001005872
55,27896.251853,498.5634,0.0009971268
56,28419.998417,523.746563,0.001047493
57,28917.054726,497.056309,0.0009941126
58,29419.029302,501.974576,0.001003949
59,29928.843923,509.814621,0.001019629
60,30439.118664,510.274741,0.001020549
Total,30439.118664,30439.118664,253659300
